Data do empenho;Número do empenho;Descrição do órgão;Histórico do empenho;Nome do credor;Valor do empenho;Valor liquidado R$;Valor pago R$;Saldo a pagar R$
 26/04/2023; 1534; GABINETE DO PREFEITO; REFERENTE A UMA DIÁRIA SEM PERNOITE, PELO DESLOCAMENTO ATÉ A CIDADE DE LAGOA VERMELHA/RS NO DIA 26 DE ABRIL DE 2023 COM RETORNO NO MESMO DIA, PARA BUSCAR E GARANTIR OS DIREITOS DO ADOLESCENTE F. P.; REJANE FRANCO DA SILVA DA LUZ; R$ 80,00; R$ 80,00; R$ 80,00; R$ 0,00
 15/02/2023; 711; SECRETARIA DE EDUCAÇÃO; REFERENTE A AQUISIÇAO DE GELADEIRA PARA USO NO CENTRO DE DISTRIBUIÇÃO DE MERENDA ESCOLAR DA REDE MUNICIPAL DE ENSINO DO MUNICÍPIO.; MICROFORT INFORMATICA LTDA; R$ 11.642,18; R$ 11.642,18; R$ 11.642,18; R$ 0,00
 28/04/2023; 1549; SECRETARIA DE EDUCAÇÃO; REFERENTE A AQUISIÇÃO DE PEÇAS DESTINADOS PARA MANUTENÇÃO DO VEÍCULO: ÔNIBUS, PLACAS: RLJ1F97, DE USO DA SECRETARIA DE EDUCAÇÃO.; CARMINATTI PECAS, COMERCIO E TRANSPORTES LTDA - ME; R$ 195,00; R$ 195,00; R$ 195,00; R$ 0,00
 25/04/2023; 1516; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; REFERENTE A AQUISIÇÃO DE GENEROS ALIMENTICIOS DESTINADOS PARA MANUTENÇÃO DAS NECESSIDADES BASICAS DO SERVIÇO DE CONVIVENCIA, SECRETARIA DE DESENVOLVIMENTO SOCIAL.; PAPA RANCHO COMERCIO LTDA; R$ 5.531,46; R$ 5.531,46; R$ 5.531,46; R$ 0,00
 19/04/2023; 1483; SECRETARIA DE EDUCAÇÃO; REFERENTE A AQUISIÇAO DE GENEROS ALIMENTICIOS DESTINADOS A MANUTENÇAO DA MERENDA ESCOLAR DA REDE MUNICIPAL DE ENSINO FUNDAMENTAL E DOS CENTROS DE EDUCAÇAO INFANTIL CEIS.; PAPA RANCHO COMERCIO LTDA; R$ 3.173,28; R$ 3.173,28; R$ 3.173,28; R$ 0,00
 02/05/2023; 1625; GABINETE DO PREFEITO; REFERENTE A UMA DIÁRIA SEM PERNOITE, PELO DESLOCAMENTO ATÉ A CIDADE DE SÃO LEOPOLDO/RS NO DIA 02 DE MAIO DE 2023 COM RETORNO NO MESMO DIA, PARA RETIRAR DOCUMENTOS DOS INFANTES L.L.S. E C.L.S. GARANTINDO O DIREITO DAS ADOLESCENTES A INCLUSÃO EM SALA DE AULA E ATENDIMENTO NA SAÚDE.; REJANE FRANCO DA SILVA DA LUZ; R$ 80,00; R$ 80,00; R$ 80,00; R$ 0,00
 28/04/2023; 1550; SECRETARIA DE EDUCAÇÃO; REFERENTE A AQUISIÇÃO DE PEÇAS DESTINADOS PARA MANUTENÇÃO DO VEÍCULO: ÔNIBUS, PLACAS: IOB2994, DE USO DA SECRETARIA DE EDUCAÇÃO.; CARMINATTI PECAS, COMERCIO E TRANSPORTES LTDA - ME; R$ 488,25; R$ 488,25; R$ 488,25; R$ 0,00
 27/04/2023; 1545; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; REFERENTE AUXÍLIO FUNERAL PARA FAMÍLIA DE IVONE COSTA DA RÓSA, PARA PESSOAS QUE SE ENCONTRAM EM SITUAÇÃO DE VULNERABILIDADE SOCIAL.; C. DA ROSA SANTANA & CIA LTDA; R$ 1.300,00; R$ 1.300,00; R$ 1.300,00; R$ 0,00
 26/05/2023; 1802; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; Devolução de saldo de convenio 881791/2018.; MINISTERIO DO DESENVOLVIMENTO REGIONAL; R$ 38.631,33; R$ 38.631,33; R$ 38.631,33; R$ 0,00
 02/05/2023; 1624; GABINETE DO PREFEITO; REFERENTE A UMA DIÁRIA SEM PERNOITE, PELO DESLOCAMENTO ATÉ A CIDADE DE SÃO LEOPOLDO/RS NO DIA 02 DE MAIO DE 2023 COM RETORNO NO MESMO DIA, PARA RETIRAR DOCUMENTOS DOS INFANTES L.L.S. E C.L.S. GARANTINDO O DIREITO DAS ADOLESCENTES A INCLUSÃO EM SALA DE AULA E ATENDIMENTO NA SAÚDE.; ELITON DA SILVA; R$ 80,00; R$ 80,00; R$ 80,00; R$ 0,00
 02/05/2023; 1619; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; REFERENTE A AQUISIÇÃO DE MATERIAIS ELÉTRICOS PARA MANUTENÇÃO DA ILUMINAÇÃO PÚBLICA MUNICIPAL DE BALNEÁRIO GAIVOTA/SC, CONFORME QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO EDITAL E SEUS ANEXOS.; SMC MATERIAIS &  CONSTRUÇÃO LTDA; R$ 9.207,60; R$ 9.207,60; R$ 9.207,60; R$ 0,00
 26/04/2023; 1535; GABINETE DO PREFEITO; REFERENTE A UMA DIÁRIA SEM PERNOITE, PELO DESLOCAMENTO ATÉ A CIDADE DE LAGOA VERMELHA/RS NO DIA 26 DE ABRIL DE 2023 COM RETORNO NO MESMO DIA, PARA BUSCAR E GARANTIR OS DIREITOS DO ADOLESCENTE F. P.; ELITON DA SILVA; R$ 80,00; R$ 80,00; R$ 80,00; R$ 0,00
 28/04/2023; 1562; SECRETARIA DE EDUCAÇÃO; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 4/2023; INST. NACIO. DO SEGURO SOCIAL; R$ 22.858,13; R$ 22.858,13; R$ 22.858,13; R$ 0,00
 28/04/2023; 1564; SECRETARIA DE EDUCAÇÃO; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 4/2023; INST. NACIO. DO SEGURO SOCIAL; R$ 99.940,21; R$ 99.940,21; R$ 99.940,21; R$ 0,00
 28/04/2023; 1563; SECRETARIA DE EDUCAÇÃO; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 4/2023; INST. NACIO. DO SEGURO SOCIAL; R$ 109.619,69; R$ 109.619,69; R$ 109.619,69; R$ 0,00
 25/05/2023; 171; CÂMARA MUNICIPAL DE VEREADORES; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; INSS-INSTITUTO NACIONAL DO SEGURO SOCIAL; R$ 19.202,15; R$ 19.202,15; R$ 19.202,15; R$ 0,00
 20/04/2023; 1496; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; REFERENTE A SERVIÇOS DE CONSTRUÇÃO CIVIL (AMPLIAÇÃO, EXECUÇÃO REBOCO E PINTURA) NO MURO DO QUARTEL DA POLICIA MILITAR.; ACLIVE ENGENHARIA LTDA; R$ 10.309,28; R$ 10.309,28; R$ 10.309,28; R$ 0,00
 10/05/2023; 1689; SECRETARIA DE CULTURA; REFERENTE A DUAS DIÁRIAS COM PERNOITE, PELO DESLOCAMENTO ATÉ A CIDADE DE LAGES/SC NO DIA 10 DE MAIO DE 2023 COM RETORNO NO DIA 12 DE MAIO DE 2023, PARA PARTICIPAR DO XI FÓRUM CATARINENSE PARA GESTORES DE CULTURA.; JOÃO BATISTA GONÇALVES JACQUES; R$ 700,00; R$ 700,00; R$ 700,00; R$ 0,00
 25/04/2023; 1514; SECRETARIA DA AGRICULTURA, PESCA  E DESENV. RURAL; REFERENTE AQUISIÇÃO DE MATERIAIS E EQUIPAMENTOS PARA INSEMINAÇÃO  BOVINA, PARA USO NA MANUTENÇÃO DAS NECESSIDADES BASICAS DA SECRETARIA MUNICIPAL DE AGRICULTURA.; SELECT SIRES DO BRASIL GENETICA LTDA; R$ 5.730,00; R$ 5.730,00; R$ 5.730,00; R$ 0,00
 31/05/2023; 174; CÂMARA MUNICIPAL DE VEREADORES; PELA DESPESA EMPENHA REF, TAXAS BANCARIAS PROVENIENTE DO MES 05-2023 CONFORME EXTRATO EM ANEXO; BANCO BRASIL S.A; R$ 190,12; R$ 190,12; R$ 190,12; R$ 0,00
 29/05/2023; 1834; SECRETARIA DE EDUCAÇÃO; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 2.558,04; R$ 2.558,04; R$ 2.558,04; R$ 0,00
 31/05/2023; 1868; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; REFERENTE A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A LOCAÇÃO DE TRATOR DE ESTEIRA, RETROESCAVADEIRA E DEMAIS EQUIPAMENTOS, PARA ATENDER AS NECESSIDADES DA MUNICIPALIDADE, CONFORME TERMO DE REFERÊNCIA (ANEXO I), E DEMAIS CONDIÇÕES CONSTANTES NO EDITAL E ANEXOS.; RETROTERRA TRANSPORTE RODOVIÁRIO E TERRAPLANAGEM LTDA; R$ 4.230,00; R$ 0,00; R$ 0,00; R$ 4.230,00
 29/05/2023; 1814; SECRETARIA DE EDUCAÇÃO; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 263,99; R$ 263,99; R$ 263,99; R$ 0,00
 29/05/2023; 1817; SECRETARIA DE EDUCAÇÃO; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 490.975,91; R$ 490.975,91; R$ 490.975,91; R$ 0,00
 29/05/2023; 1815; SECRETARIA DE EDUCAÇÃO; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 351,99; R$ 351,99; R$ 351,99; R$ 0,00
 29/05/2023; 1816; SECRETARIA DE EDUCAÇÃO; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 116.096,31; R$ 116.096,31; R$ 116.096,31; R$ 0,00
 29/05/2023; 1813; SECRETARIA DE EDUCAÇÃO; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 104.910,15; R$ 104.910,15; R$ 104.910,15; R$ 0,00
 29/05/2023; 1812; SECRETARIA DE EDUCAÇÃO; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 433.601,05; R$ 433.601,05; R$ 433.601,05; R$ 0,00
 29/05/2023; 1820; SECRETARIA DE EDUCAÇÃO; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 2.107,63; R$ 2.107,63; R$ 2.107,63; R$ 0,00
 11/04/2023; 1408; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; REFERENTE A AQUISIÇÃO PARCELADA DE ÓLEOS LUBRIFICANTES, GRAXAS LUBRIFICANTES E ADITIVOS PARA MANUTENÇÃO DA FROTA MUNICIPAL DE VEÍCULOS DE BALNEÁRIO GAIVOTA/SC, CONFORME QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NESTE EDITAL E SEUS ANEXOS, EM ESPECIAL AS CONSTANTES NO TERMO DE REFERÊNCIA.; A&M LOJA DE CONVENIENCIA LTDA; R$ 1.589,75; R$ 1.589,75; R$ 1.589,75; R$ 0,00
 29/05/2023; 1832; SECRETARIA DE ARRECADAÇÃO MUNICIPAL; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 4.255,81; R$ 4.255,81; R$ 4.255,81; R$ 0,00
 29/05/2023; 1828; GABINETE DO PREFEITO; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 74.736,38; R$ 74.736,38; R$ 74.736,38; R$ 0,00
 12/04/2023; 1412; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; REFERENTE A AQUISIÇÕES PARCELADA DE ÓLEOS LUBRIFICANTES, GRAXAS LUBRIFICANTES E ADITIVOS PARA MANUTENÇÃO DA FROTA MUNICIPAL DE VEÍCULOS DE BALNEÁRIO GAIVOTA/SC, CONFORME QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NESTE EDITAL E SEUS ANEXOS, EM ESPECIAL AS CONSTANTES NO TERMO DE REFERÊNCIA - ANEXO I; A&M LOJA DE CONVENIENCIA LTDA; R$ 13.706,42; R$ 13.706,42; R$ 13.706,42; R$ 0,00
 29/05/2023; 1836; SECRETARIA DE CULTURA; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 11.490,71; R$ 11.490,71; R$ 11.490,71; R$ 0,00
 29/05/2023; 1830; SECRETARIA DE ARRECADAÇÃO MUNICIPAL; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 2.127,91; R$ 2.127,91; R$ 2.127,91; R$ 0,00
 29/05/2023; 1824; SECRETARIA DE EDUCAÇÃO; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 77.122,79; R$ 77.122,79; R$ 77.122,79; R$ 0,00
 29/05/2023; 1821; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 2.161,59; R$ 2.161,59; R$ 2.161,59; R$ 0,00
 29/05/2023; 1822; SECRETARIA DE TURISMO  E ESPORTE; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 7.376,75; R$ 7.376,75; R$ 7.376,75; R$ 0,00
 29/05/2023; 1835; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 167.475,55; R$ 167.475,55; R$ 167.475,55; R$ 0,00
 29/05/2023; 1829; SECRETARIA DE INDÚSTRIA E COMÉRCIO E SEG. PÚBLICA; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 9.220,94; R$ 9.220,94; R$ 9.220,94; R$ 0,00
 27/03/2023; 1218; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; REFERENTE A AQUISIÇAO DE OLEOS E MATERIAIS PARA LAVAÇÃO DOS VEÍCULOS, DESTINADO PARA MANUTENÇAO DAS NECESSIDADES BASICAS DA SECRETARIA DE OBRAS.; A&M LOJA DE CONVENIENCIA LTDA; R$ 446,68; R$ 446,68; R$ 446,68; R$ 0,00
 29/05/2023; 1827; SECRETARIA DE MEIO AMBIENTE E DESENV. ECONÔMICO; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 11.490,71; R$ 11.490,71; R$ 11.490,71; R$ 0,00
 29/05/2023; 1833; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 32.970,22; R$ 32.970,22; R$ 32.970,22; R$ 0,00
 29/05/2023; 1826; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 116.998,66; R$ 116.998,66; R$ 116.998,66; R$ 0,00
 29/05/2023; 1831; SECRETARIA DA AGRICULTURA, PESCA  E DESENV. RURAL; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 25.186,41; R$ 25.186,41; R$ 25.186,41; R$ 0,00
 14/04/2023; 1446; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; REFERENTE A AQUISIÇÃO DE ESTOPAS DESTINADOS PARA MANUTENÇAO DAS NECESSIDADES BASICAS DA SECRETARIA DE OBRAS.; A&M LOJA DE CONVENIENCIA LTDA; R$ 700,00; R$ 700,00; R$ 700,00; R$ 0,00
 29/05/2023; 1819; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 68.975,71; R$ 68.975,71; R$ 68.975,71; R$ 0,00
 29/05/2023; 1825; SECRETARIA DE EDUCAÇÃO; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 2.088,12; R$ 2.088,12; R$ 2.088,12; R$ 0,00
 29/05/2023; 1823; SECRETARIA DE ARRECADAÇÃO MUNICIPAL; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 18.300,01; R$ 18.300,01; R$ 18.300,01; R$ 0,00
 29/05/2023; 1818; GABINETE DO PREFEITO; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2023; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 10.807,90; R$ 10.807,90; R$ 10.807,90; R$ 0,00
 19/05/2023; 1761; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; REFERENTE A TARIFA DE PRORROGAÇÃO DE VIGÊNCIA DO CONVÊNIO 900514.; CAIXA ECONOMICA FEDERAL; R$ 1.700,00; R$ 1.700,00; R$ 1.700,00; R$ 0,00
 30/03/2023; 1302; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; REFERENTE AQUISIÇÃO DE AGUA MINEIRAL DESTINADA A MANUTENÇÃO DAS NECESSIDADES BASICAS DA POLICIA MILITAR. CONVENIO DE TRANSITO.; DANIEL BOLCAO DOS SANTOS; R$ 611,00; R$ 606,00; R$ 606,00; R$ 0,00
 04/04/2023; 1355; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; REFERENTE AQUISIÇÃO DE  MATERIAIS DE LIMPEZA E HIGIENE DESTINADOS A MANUTENÇÃO DAS NECESSIDADES BASICAS DA SECRETARIA DE ADMINISTRAÇÃOE  FINANÇAS.; PAPA RANCHO COMERCIO LTDA; R$ 599,40; R$ 599,40; R$ 599,40; R$ 0,00
 11/04/2023; 1400; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; REFERENTE A AQUISIÇAO DE ÁGUA DESTINADOS PARA MANUTENÇÃO DAS NECESSIDADES BASICAS DA SECRETARIA DE OBRAS.; TRAJANO'S DISTRIBUIDORA LTDA; R$ 273,00; R$ 273,00; R$ 273,00; R$ 0,00
 06/04/2023; 1376; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; REF.: AQUISIÇÃO PARCELADA DE GÊNEROS ALIMENTÍCIOS PARA AS  CESTAS BÁSICAS  FORNECIDAS AOS USUÁRIOS DA ASSISTÊNCIA SOCIAL, QUE POR VENTURA ESTIVEREM EM SITUAÇÃO DE VULNERABILIDADE SOCIAL.; JUCEMAR BORGES DOS SANTOS; R$ 8.802,00; R$ 8.802,00; R$ 8.802,00; R$ 0,00
 03/04/2023; 1335; SECRETARIA DE EDUCAÇÃO; REFERENTE A AQUISIÇAO DE AGUA MINERAL E GÁS DE COZINHA DESTINADOS PARA MANUTENÇAO DAS NECESSIDADES BASICAS DAS ESCOLAS ALBINO E DARCY RIBEIRO, SECRETARIA DE EDUCAÇÃO.; TRAJANO'S DISTRIBUIDORA LTDA; R$ 2.239,00; R$ 2.239,00; R$ 2.239,00; R$ 0,00
 11/04/2023; 1410; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; REFERENTE A AQUISIÇAO DE ÁGUA E GÁS DESTINADO PARA MANUTENÇÃO DAS NECESSIDADES BASICAS DA SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS.; TRAJANO'S DISTRIBUIDORA LTDA; R$ 724,00; R$ 724,00; R$ 724,00; R$ 0,00
 11/04/2023; 1407; SECRETARIA DE EDUCAÇÃO; REFERENTE A AQUISIÇAO DE ÁGUA MINERAL DESTINADOS PARA MANUTENÇÃO DAS NECESSIDADES BASICAS DA SECRETARIA DE EDUCAÇÃO.; TRAJANO'S DISTRIBUIDORA LTDA; R$ 130,00; R$ 130,00; R$ 130,00; R$ 0,00
 27/04/2023; 1547; GABINETE DO PREFEITO; REFERENTE A AQUISIÇÃO DE ÁGUA MINERAL DESTINADO A ATENDER AS NECESSIDADES BÁSICAS DO GABINETE DO PREFEITO.; TRAJANO'S DISTRIBUIDORA LTDA; R$ 400,60; R$ 400,60; R$ 400,60; R$ 0,00
 21/03/2023; 1133; SECRETARIA DE EDUCAÇÃO; REFERENTE A AQUISIÇAO DE GENEROS ALIMENTICIOS DESTINADOS A MANUTENÇAO DA MERENDA ESCOLAR DA REDE MUNICIPAL DE ENSINO FUNDAMENTAL E DOS CENTROS DE EDUCAÇAO INFANTIL CEIS.; PAPA RANCHO COMERCIO LTDA; R$ 7.920,18; R$ 7.920,18; R$ 7.920,18; R$ 0,00
 11/04/2023; 1399; SECRETARIA DE EDUCAÇÃO; REFERENTE A AQUISIÇAO DE ÁGUA E GÁS DESTINADOS PARA MANUTENÇÃO DAS NECESSIDADES BASICAS DOS CEIS, SECRETARIA DE EDUCAÇÃO.; TRAJANO'S DISTRIBUIDORA LTDA; R$ 4.510,00; R$ 4.510,00; R$ 4.510,00; R$ 0,00
 11/01/2023; 258; SECRETARIA DA AGRICULTURA, PESCA  E DESENV. RURAL; REFERENTE À AQUISIÇÃO DE ÁGUA MINERAL PARA SUPRIR AS NECESSIDADES BÁSICAS DA SECRETARIA DE AGRICULTURA.; TRAJANO'S DISTRIBUIDORA LTDA; R$ 52,00; R$ 52,00; R$ 52,00; R$ 0,00
 06/04/2023; 1377; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; REFERENTE A AQUISIÇAO DE GENEROS ALIMENTICIOS DESTINADOS A MANUTENÇAO DA MERENDA DO SERVIÇO DE CONVIVÊNCIA, SECRETARIA DE DESENVOLVIMENTO SOCIAL.; PAPA RANCHO COMERCIO LTDA; R$ 4.635,54; R$ 4.635,54; R$ 4.635,54; R$ 0,00
 06/04/2023; 1382; SECRETARIA DE EDUCAÇÃO; REFERENTE A AQUISIÇAO DE GENEROS ALIMENTICIOS DESTINADOS A MANUTENÇAO DA MERENDA ESCOLAR DA REDE MUNICIPAL DE ENSINO FUNDAMENTAL E DOS CENTROS DE EDUCAÇAO INFANTIL CEIS.; PAPA RANCHO COMERCIO LTDA; R$ 872,72; R$ 872,72; R$ 872,72; R$ 0,00
 03/04/2023; 1332; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; REFERENTE A AQUISIÇAO DE ÁGUA DESTINADO PARA MANUTENÇAO DAS NECESSIDADES BASICAS DAS SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS.; TRAJANO'S DISTRIBUIDORA LTDA; R$ 635,40; R$ 635,40; R$ 635,40; R$ 0,00
 04/04/2023; 1357; SECRETARIA DE EDUCAÇÃO; REFERENTE AQUISIÇÃO DE MATERIAIS DE LIMPEZA E HIGIENE DESTINADOS A MANUTENÇÃO DAS NECESSIDADES BASICAS DA REDE MUNICIPAL DE ENSINO FUNDAMENTAL.; PAPA RANCHO COMERCIO LTDA; R$ 3.303,20; R$ 3.303,20; R$ 3.303,20; R$ 0,00
 20/04/2023; 1493; SECRETARIA DE EDUCAÇÃO; REFERENTE A AQUISIÇAO DE GENEROS ALIMENTICIOS DESTINADOS A MANUTENÇAO DA MERENDA ESCOLAR DA REDE MUNICIPAL DE ENSINO FUNDAMENTAL E DOS CENTROS DE EDUCAÇAO INFANTIL CEIS.; PAPA RANCHO COMERCIO LTDA; R$ 1.777,50; R$ 1.777,50; R$ 1.777,50; R$ 0,00
 06/04/2023; 1373; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; REFERENTE A AQUISIÇAO DE GENEROS ALIMENTICIOS DESTINADOS A MANUTENÇAO DA MERENDA DO SERVIÇO DE CONVIVENCIA, SECRETARIA DE DESENVOLVIMENTO SOCIAL.; PAPA RANCHO COMERCIO LTDA; R$ 104,00; R$ 104,00; R$ 104,00; R$ 0,00
 12/04/2023; 1416; SECRETARIA DE EDUCAÇÃO; REFERENTE A AQUISIÇAO DE GENEROS ALIMENTICIOS  DESTINADOS A MANUTENÇAO DA MERENDA ESCOLAR DA REDE MUNICIPAL DE ENSINO FUNDAMENTAL E DOS CENTROS DE EDUCAÇAO INFANTIL CEIS.; PAPA RANCHO COMERCIO LTDA; R$ 10.336,76; R$ 10.336,76; R$ 10.336,76; R$ 0,00
 13/04/2023; 1434; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; REFERENTE A AQUISIÇAO DE GENEROS ALIMENTICIOS DESTINADOS A MANUTENÇAO DO SERVIÇO DE CONVIVÊNCIA E FORTALECIMENTO DE VÍNCULOS , SECRETERIA DE DESENVOLVIMENTO SOCIAL.; PAPA RANCHO COMERCIO LTDA; R$ 43,20; R$ 43,20; R$ 43,20; R$ 0,00
 11/04/2023; 1405; SECRETARIA DE EDUCAÇÃO; REFERENTE A AQUISIÇAO DE ÁGUA E GÁS DESTINADOS PARA MANUTENÇÃO DAS NECESSIDADES BASICAS DA ESCOLA ALBINO E DARCY RIBEIRO, SECRETARIA DE EDUCAÇÃO.; TRAJANO'S DISTRIBUIDORA LTDA; R$ 2.240,00; R$ 2.240,00; R$ 2.240,00; R$ 0,00
 11/04/2023; 1401; SECRETARIA DA AGRICULTURA, PESCA  E DESENV. RURAL; REFERENTE A AQUISIÇAO DE ÁGUA DESTINADOS PARA MANUTENÇÃO DAS NECESSIDADES BASICAS DA SECRETARIA DE AGRICULTURA.; TRAJANO'S DISTRIBUIDORA LTDA; R$ 52,00; R$ 52,00; R$ 52,00; R$ 0,00
 21/03/2023; 1118; SECRETARIA DE ARRECADAÇÃO MUNICIPAL; REFERENTE A AQUISIÇAO DE ADESIVO DE IMPRESSAO DESTINADO PARA MANUTENÇAO DAS NECESSIDADES BASICAS DA FISCALIZAÇAO, SECRETARIA DE ARRECADAÇÃO MUNICIPAL.; SALTO TRIPLO COMUNICACAO VISUAL LTDA - ME; R$ 210,00; R$ 210,00; R$ 210,00; R$ 0,00
 21/03/2023; 1119; SECRETARIA DE ARRECADAÇÃO MUNICIPAL; REFERENTE A AQUISIÇAO DE PLACAS COM ADESIVO DESTINADO PARA MANUTENÇAO DAS NECESSIDADES BASICAS DO SETOR DE PROJETOS, SECRETARIA DE ARRECADAÇÃO MUNICIPAL.; SALTO TRIPLO COMUNICACAO VISUAL LTDA - ME; R$ 2.550,00; R$ 2.550,00; R$ 2.550,00; R$ 0,00
